id,ingredient
2370,dried sweet basil leaf
7474,vanilla ice cream
7060,taco seasoning
7229,tomato paste
4207,lean pork chop
6426,shallot
6156,rolled oat
6738,spice
6566,smoked chicken
7979,yellow onion
815,buckwheat flmy
112,american cheese
255,avocado
2111,deli turkey
1329,chili powder
954,candy bar
3355,granulated sugar
893,cabbage
7956,yeast
7367,unsalted butter
3940,italian seasoning
4821,montrealsteak seasoning
4964,nutmeg
6009,red wine vinegar
2129,diced pimento
1831,cornmeal
482,beef steak
6324,sausage
5093,"orange, juice of"
766,broccoli stem
7557,vegetable oil
3834,icing sugar
1447,chocolate syrup
1511,cinnamon
335,baking soda
1982,crushed pineapple
5298,pecan
7770,white onion
5010,onion
6265,salsa
5622,pork sparerib
7612,vermicelli
3179,garbanzo bean
6413,sesame oil
2461,dry white wine
869,buttermilk
2841,fresh lotus root
3550,ground turmeric
2430,dry mustard
3440,green pepper
1351,chinese noodle
2778,fresh cilantro leaf
3217,garlic powder
1773,cookie
2777,fresh cilantro
1124,celery
5180,parmesan cheese
2378,dried thyme
3502,ground cumin
7863,whole tomato
2045,dark brown sugar
5365,pickle
3157,fudge brownie mix
7655,water
4623,mayonnaise
4288,"lemon, rind of"
1501,ciabattum
2117,desiccated coconut
6858,strawberry ice cream
1838,cottage cheese
2809,fresh ginger
1112,cauliflower
1833,cornstarch
882,butterscotch chip
1257,chicken broth
2780,fresh coarse ground black pepper
2899,fresh spinach leaf
2764,fresh breadcrumb
1563,clove
6374,seasoning salt
3398,green bean
233,ature chocolate chip
2593,fettuccine pastum
7470,vanilla extract
7265,tri-color spiral pastum
7705,whipping cream
6733,spearmint
5667,poultry seasoning
7668,wax bean
1672,condensed cream of chicken soup
2683,flmy
5106,oregano
7562,vegetable stock
2718,french bread
4918,new potato
7233,tomato sauce
1504,cider vinegar
1119,cayenne pepper
1252,chicken breast
840,butter
7193,toasted sesame oil
2856,fresh parsley
6846,strawberry
245,ature peppermint patty
3486,ground black pepper
2574,fat
1707,cooked chicken
7449,vanilla
2499,egg
6985,sweet pepper
382,basil
7363,unflavored gelatin
2518,elbow macaroni
7850,whole kernel corn
5186,parsley flake
7977,yellow mustard
5648,potato
6373,seasoning mix
672,boiling potato
6082,rice vinegar
2512,egg yolk
590,black pepper
3543,ground sirloin
3668,heavy cream
5276,peanut oil
5024,onion powder
1170,cheese
1254,chicken breast half
3430,green grape
1496,chunky salsa
7799,white vinegar
2832,fresh lemon juice
4958,nut
331,baking potato
6696,soy sauce
466,beef rib
5985,red potato
7946,worcestershire sauce
2946,frozen apple juice concentrate
5188,parsley sprig
4836,mozzarella
3910,instant vanilla pudding
2672,flat leaf parsley
7517,veal roast
393,bay leaf
3484,ground beef
5695,powdered sugar
7049,tabasco sauce
162,apple pie filling
7714,white bread
4302,"lemons, juice of"
1248,chicken bouillon cube
2258,dried dill weed
6529,sliced olife
2817,fresh ground pepper
2007,cumin
7702,whipped cream
1388,chocolate chip
49,albacore tuna in water
5002,olife
1783,cooking oil
7774,white pepper
6473,shortening
1674,condensed cream of mushroom soup
399,bean dip
7656,water chestnut
1649,collard green
3552,ground venison
6298,sambal oelek
1093,carrot
6616,soft breadcrumb
1584,cocoa
4023,kalamata olive
4384,lime juice
3675,herb
328,baking cocoa
2757,fresh basil
1372,chive
4053,ketchup
3184,garlic
800,brown sugar
2131,diced tomato
3384,great northern bean
7168,thyme
3810,hot sauce
342,banana
5319,pepper
150,apple
3498,ground clove
7803,white wine vinegar
5205,pasta sauce
3602,ham hock
1564,clove oil
7495,vanilla wafer
5731,provolone cheese
6271,salt & fresh ground pepper
1334,chili-garlic sauce
5687,powdered milk
7790,white sugar
1118,cayenne
7235,tomato soup
7230,tomato puree
3533,ground pork
3637,hass avocado
6654,sour cream
1049,caper
2807,fresh garlic
911,cake flmy
5502,plain yogurt
1168,cheddar
1825,cornbread
1803,corn
7404,unsweetened chocolate square
7813,whole berry cranberry sauce
5259,peanut
4883,mustard powder
7933,winter squash
7124,tempeh
6272,salt & ground black pepper
2393,dried wood ear mushroom
2320,dried oregano
7033,swiss cheese
7501,vanilla yogurt
5261,peanut butter
3437,green olife
432,beef bouillon cube
3589,half-and-half
4308,lettuce
7196,toasted wheat germ
5058,orange juice
483,beef stew meat
444,beef consomme
2551,escarole
2001,cucumber
6290,salted peanut
5108,oregano leaf
2785,fresh corn
510,beer
6002,red sweet bell pepper
7194,toasted sesame seed
159,apple juice
1974,crouton
3771,hot chili pepper
553,black bean
7559,vegetable shortening
6276,salt and pepper
7801,white wine
4574,margarine
6335,scallion
1867,cracked black pepper
1397,chocolate cookies
6906,sugar
3815,hot water
4694,mexican seasoning
7582,vegetarian ground beef
4807,molass
4253,lemon juice
3997,jiffy corn muffin mix
4062,kidney bean
4880,mustard
5168,paprika
1591,coconut
5068,orange rind
728,breadcrumb
6153,roll
2984,frozen chopped spinach
7227,tomato juice
5481,pizza crust
7962,yellow bell pepper
6270,salt
6980,sweet onion
6829,stir fry vegetable
6528,sliced mushroom
7706,whiskey
8021,zucchini
437,beef broth
2506,egg substitute
5006,olive oil
2200,dressing
6260,salmon
756,broccoli
588,black olife
912,cake mix
3232,gelatin
3490,ground cayenne pepper
1521,cinnamon oil
748,brine
6641,sorghum
6748,spicy mustard
1786,cooking spray
4871,mushroom piece
6819,stewed tomato
3236,genoa salami
673,boiling water
5915,red bell pepper
1673,condensed cream of mushroom & garlic soup
2816,fresh ground black pepper
1920,cream of mushroom soup
6206,rubbed sage
3248,ginger
3512,ground ginger
1987,crushed tomato
892,button mushroom
1910,cream cheese
7550,vegetable broth
1573,coarse salt
3951,jalapeno
3439,green pea
5191,part-skim ricotta cheese
5314,penne pastum
6962,sweet butter
6189,rotel tomato
3106,frozen vegetable
63,all-purpose flmy
4287,"lemon, juice of"
4155,lasagna noodle
5110,oreo cookie crumb
6306,sandwich bun
1297,chicken stock
405,bean sprout
7849,whole green chily
4717,milk
2509,egg white
6416,sesame seed
1527,cinnamon stick
6085,ricotta cheese
132,angel hair pastum
7955,yam
2226,dried breadcrumb
5825,raisin
4987,oil
2212,dried basil
7213,tomato
3597,ham
422,beef
298,bacon
1316,chile
5975,red pepper flake
4766,mirin
7099,tarragon
5340,pepperoni
2819,fresh herb
6626,soft silken tofu
5936,red cinnamon candy
7998,yogurt
4795,mixed spice
3758,horseradish
5219,pastum
1306,chicken thigh
3723,honey
3610,hamburger bun
7548,vegetable bouillon cube
3547,ground thyme
715,bread
7479,vanilla instant pudding mix
16,a.1. sauce
208,artificial sweetener
3326,graham cracker crust
3497,ground cinnamon
1043,canola oil
5280,pear
3046,frozen pea
4189,lean ground beef
3013,frozen french fry
6243,sage
5362,picante sauce
3500,ground coriander
569,black cumin
2159,dill weed
6966,sweet corn
2324,dried parsley
3532,ground pepper
6183,rosemary
773,broth
2587,fennel seed
761,broccoli floret
4436,liquid smoke
6273,salt & pepper
7022,sweetened condensed milk
2913,fresh tomato
1873,cracker
5930,red chili pepper
7187,toasted almond
2505,egg roll wrap
5324,peppercorn
1505,cilantro
332,baking powder
7059,taco sauce
7642,walnut
4814,monterey jack cheese
5185,parsley
155,apple cider vinegar
1133,celery seed
6754,spinach
7406,unsweetened cocoa
1909,cream
