id,ingredient
2378,dried thyme
5481,pizza crust
7582,vegetarian ground beef
3533,ground pork
5340,pepperoni
4814,monterey jack cheese
331,baking potato
3486,ground black pepper
6298,sambal oelek
6473,shortening
6819,stewed tomato
7714,white bread
6002,red sweet bell pepper
569,black cumin
4717,milk
3758,horseradish
328,baking cocoa
5261,peanut butter
6829,stir fry vegetable
5622,pork sparerib
715,bread
1987,crushed tomato
2946,frozen apple juice concentrate
382,basil
4302,"lemons, juice of"
466,beef rib
7196,toasted wheat germ
7022,sweetened condensed milk
399,bean dip
3430,green grape
1119,cayenne pepper
7642,walnut
2505,egg roll wrap
5191,part-skim ricotta cheese
6009,red wine vinegar
7479,vanilla instant pudding mix
7517,veal roast
4053,ketchup
7367,unsalted butter
756,broccoli
3550,ground turmeric
840,butter
7557,vegetable oil
393,bay leaf
1093,carrot
1254,chicken breast half
3497,ground cinnamon
2001,cucumber
2757,fresh basil
255,avocado
7956,yeast
5219,pastum
4288,"lemon, rind of"
2807,fresh garlic
2370,dried sweet basil leaf
4253,lemon juice
3484,ground beef
5648,potato
2587,fennel seed
6260,salmon
5205,pasta sauce
335,baking soda
405,bean sprout
3810,hot sauce
7227,tomato juice
233,ature chocolate chip
7235,tomato soup
912,cake mix
6846,strawberry
1306,chicken thigh
7803,white wine vinegar
298,bacon
444,beef consomme
761,broccoli floret
6265,salsa
6962,sweet butter
6272,salt & ground black pepper
5024,onion powder
112,american cheese
7946,worcestershire sauce
4821,montrealsteak seasoning
2819,fresh herb
2816,fresh ground black pepper
1584,cocoa
1833,cornstarch
1564,clove oil
3910,instant vanilla pudding
6733,spearmint
1527,cinnamon stick
2672,flat leaf parsley
2045,dark brown sugar
1388,chocolate chip
6529,sliced olife
2518,elbow macaroni
5280,pear
5186,parsley flake
3184,garlic
422,beef
7213,tomato
2574,fat
1831,cornmeal
482,beef steak
3498,ground clove
6906,sugar
7863,whole tomato
6426,shallot
1316,chile
7265,tri-color spiral pastum
6754,spinach
7449,vanilla
7229,tomato paste
1974,crouton
5324,peppercorn
6273,salt & pepper
2212,dried basil
7550,vegetable broth
245,ature peppermint patty
2226,dried breadcrumb
2718,french bread
2320,dried oregano
5930,red chili pepper
6738,spice
7849,whole green chily
1168,cheddar
2832,fresh lemon juice
5093,"orange, juice of"
3217,garlic powder
773,broth
2200,dressing
3106,frozen vegetable
1707,cooked chicken
7774,white pepper
4795,mixed spice
3637,hass avocado
4062,kidney bean
1329,chili powder
7655,water
49,albacore tuna in water
5188,parsley sprig
1511,cinnamon
4883,mustard powder
6082,rice vinegar
5068,orange rind
6980,sweet onion
7049,tabasco sauce
1504,cider vinegar
3543,ground sirloin
5185,parsley
7033,swiss cheese
1049,caper
16,a.1. sauce
6416,sesame seed
150,apple
155,apple cider vinegar
1297,chicken stock
4694,mexican seasoning
5687,powdered milk
510,beer
4436,liquid smoke
7955,yam
766,broccoli stem
3951,jalapeno
6189,rotel tomato
3157,fudge brownie mix
332,baking powder
2117,desiccated coconut
6156,rolled oat
4287,"lemon, juice of"
1773,cookie
4880,mustard
4987,oil
5002,olife
3723,honey
3668,heavy cream
5108,oregano leaf
7406,unsweetened cocoa
5695,powdered sugar
5975,red pepper flake
5006,olive oil
2461,dry white wine
2512,egg yolk
7060,taco seasoning
7548,vegetable bouillon cube
7562,vegetable stock
2984,frozen chopped spinach
2809,fresh ginger
728,breadcrumb
4189,lean ground beef
1920,cream of mushroom soup
892,button mushroom
6153,roll
4308,lettuce
7612,vermicelli
1334,chili-garlic sauce
63,all-purpose flmy
7059,taco sauce
6654,sour cream
1447,chocolate syrup
2430,dry mustard
5731,provolone cheese
7702,whipped cream
3675,herb
6270,salt
2899,fresh spinach leaf
2499,egg
2785,fresh corn
800,brown sugar
1133,celery seed
3552,ground venison
3326,graham cracker crust
3398,green bean
1563,clove
1803,corn
2856,fresh parsley
6985,sweet pepper
1673,condensed cream of mushroom & garlic soup
3589,half-and-half
7168,thyme
7801,white wine
2841,fresh lotus root
3013,frozen french fry
1501,ciabattum
2393,dried wood ear mushroom
4958,nut
342,banana
7404,unsweetened chocolate square
2131,diced tomato
7799,white vinegar
1573,coarse salt
7470,vanilla extract
432,beef bouillon cube
6276,salt and pepper
5502,plain yogurt
2111,deli turkey
893,cabbage
1591,coconut
1873,cracker
5276,peanut oil
3597,ham
1521,cinnamon oil
4574,margarine
2913,fresh tomato
7194,toasted sesame seed
1170,cheese
6616,soft breadcrumb
6748,spicy mustard
1257,chicken broth
7813,whole berry cranberry sauce
3547,ground thyme
1043,canola oil
1672,condensed cream of chicken soup
1825,cornbread
5915,red bell pepper
7193,toasted sesame oil
4023,kalamata olive
6566,smoked chicken
2817,fresh ground pepper
7474,vanilla ice cream
3771,hot chili pepper
6966,sweet corn
7495,vanilla wafer
