contributor_id,recipe_id,created
47892,137739,2005-09-16
26278,31490,2002-06-17
196586,112140,2005-02-25
68585,59389,2003-04-14
41706,44061,2002-10-25
1533,5289,1999-12-06
21730,25274,2002-04-14
10404,67888,2003-07-30
102353,70971,2003-09-10
15892,75452,2003-11-04
49168,109439,2005-01-25
41531,42198,2002-10-03
85627,67547,2003-07-26
137696,107517,2005-01-03
37449,39959,2002-09-10
14664,63986,2003-06-06
52268,43026,2002-10-14
35268,23933,2002-03-29
4481,8559,2001-01-27
3288,23850,2002-03-28
95743,76808,2003-11-17
3288,24701,2002-04-08
108291,83873,2004-02-13
158966,107699,2005-01-05
64428,49262,2002-12-19
6164,48156,2002-12-09
40525,54272,2003-02-17
31871,47366,2002-11-21
1533,37073,2002-08-13
35193,44123,2002-10-25
37305,27087,2002-05-03
28604,59952,2003-04-16
91081,93249,2004-06-11
68357,54100,2003-02-15
91970,67664,2003-07-26
70662,87098,2004-03-20
37305,25775,2002-04-22
40493,33165,2002-07-04
1533,38798,2002-08-29
34687,22123,2002-03-11
15851,90921,2004-05-10
133174,93959,2004-06-22
133174,93958,2004-06-22
37183,58224,2003-04-04
26278,33606,2002-07-08
44372,94710,2004-06-30
22724,35173,2002-07-27
116315,83025,2004-02-04
49304,52804,2003-01-29
29506,108414,2005-01-15
37305,26995,2002-04-30
60512,53402,2003-02-04
79219,59632,2003-04-14
29212,22526,2002-03-14
164610,100870,2004-09-29
4470,84797,2004-02-23
6164,35653,2002-07-29
27678,32169,2002-06-25
32692,24478,2002-04-08
41706,44045,2002-10-25
76846,60219,2003-04-18
67026,81185,2004-01-15
41480,30131,2002-06-03
47858,63593,2003-06-02
28201,43164,2002-10-14
6164,30300,2002-06-04
12875,78655,2003-12-12
87877,74805,2003-11-01
82367,71635,2003-09-26
37640,38276,2002-08-26
51224,97052,2004-08-05
37305,26835,2002-04-29
41809,32271,2002-06-25
173674,107229,2004-12-30
1534,5060,1999-12-01
6164,42570,2002-10-07
1533,52443,2003-01-28
6164,35595,2002-07-29
178452,108804,2005-01-19
124847,83950,2004-02-14
15572,19208,2002-02-08
82367,64302,2003-06-11
34272,35964,2002-08-02
93698,71457,2003-09-15
118163,95926,2004-07-20
73836,103948,2004-11-12
110034,99024,2004-09-02
52448,64045,2003-06-06
56266,41756,2002-10-01
167849,112959,2005-03-08
49879,83062,2004-02-04
107823,98930,2004-09-01
108291,83133,2004-02-05
54631,39947,2002-09-10
51224,44895,2002-10-29
51579,39363,2002-09-03
82367,62368,2003-05-17
37584,111875,2005-02-24
55690,42522,2002-10-07
23302,34930,2002-07-24
