id,ingredient
444,beef consomme
6298,sambal oelek
5915,red bell pepper
5648,potato
7194,toasted sesame seed
6374,seasoning salt
6260,salmon
7774,white pepper
6748,spicy mustard
1119,cayenne pepper
3512,ground ginger
1649,collard green
8021,zucchini
7550,vegetable broth
7813,whole berry cranberry sauce
5110,oreo cookie crumb
6153,roll
3543,ground sirloin
7227,tomato juice
437,beef broth
3532,ground pepper
3940,italian seasoning
6566,smoked chicken
3157,fudge brownie mix
4880,mustard
748,brine
159,apple juice
6335,scallion
6980,sweet onion
7668,wax bean
2378,dried thyme
2672,flat leaf parsley
5108,oregano leaf
912,cake mix
588,black olife
7449,vanilla
466,beef rib
6473,shortening
2832,fresh lemon juice
6271,salt & fresh ground pepper
3533,ground pork
2817,fresh ground pepper
3398,green bean
4023,kalamata olive
3498,ground clove
3232,gelatin
2007,cumin
7033,swiss cheese
7705,whipping cream
4871,mushroom piece
7979,yellow onion
5068,orange rind
298,bacon
5825,raisin
5298,pecan
2512,egg yolk
2780,fresh coarse ground black pepper
3758,horseradish
869,buttermilk
1496,chunky salsa
5205,pasta sauce
6276,salt and pepper
1527,cinnamon stick
4958,nut
4207,lean pork chop
5191,part-skim ricotta cheese
2593,fettuccine pastum
3497,ground cinnamon
6985,sweet pepper
2320,dried oregano
1505,cilantro
3430,green grape
7059,taco sauce
4795,mixed spice
7124,tempeh
6243,sage
1873,cracker
3552,ground venison
2212,dried basil
715,bread
7230,tomato puree
3597,ham
1112,cauliflower
6754,spinach
2819,fresh herb
5324,peppercorn
1707,cooked chicken
6290,salted peanut
1168,cheddar
5006,olive oil
7235,tomato soup
5985,red potato
4623,mayonnaise
3815,hot water
5319,pepper
5975,red pepper flake
7790,white sugar
3184,garlic
2111,deli turkey
155,apple cider vinegar
7363,unflavored gelatin
5936,red cinnamon candy
7770,white onion
3248,ginger
5280,pear
5188,parsley sprig
5314,penne pastum
7946,worcestershire sauce
6272,salt & ground black pepper
7562,vegetable stock
1334,chili-garlic sauce
7933,winter squash
3810,hot sauce
7187,toasted almond
7470,vanilla extract
7850,whole kernel corn
2430,dry mustard
3602,ham hock
1786,cooking spray
7642,walnut
5362,picante sauce
2226,dried breadcrumb
1831,cornmeal
7049,tabasco sauce
6002,red sweet bell pepper
1673,condensed cream of mushroom & garlic soup
7099,tarragon
5276,peanut oil
5261,peanut butter
1504,cider vinegar
3440,green pepper
672,boiling potato
1372,chive
245,ature peppermint patty
7803,white wine vinegar
7557,vegetable oil
4814,monterey jack cheese
761,broccoli floret
6528,sliced mushroom
1910,cream cheese
6616,soft breadcrumb
7656,water chestnut
3550,ground turmeric
5502,plain yogurt
4253,lemon juice
7495,vanilla wafer
3439,green pea
112,american cheese
1252,chicken breast
5340,pepperoni
3997,jiffy corn muffin mix
7168,thyme
2913,fresh tomato
893,cabbage
5180,parmesan cheese
3355,granulated sugar
382,basil
4694,mexican seasoning
6529,sliced olife
3771,hot chili pepper
6085,ricotta cheese
1306,chicken thigh
882,butterscotch chip
1118,cayenne
1248,chicken bouillon cube
2370,dried sweet basil leaf
7022,sweetened condensed milk
6696,soy sauce
7849,whole green chily
4574,margarine
2506,egg substitute
4807,molass
208,artificial sweetener
233,ature chocolate chip
766,broccoli stem
6373,seasoning mix
2518,elbow macaroni
2574,fat
1511,cinnamon
7479,vanilla instant pudding mix
4302,"lemons, juice of"
4717,milk
3910,instant vanilla pudding
4287,"lemon, juice of"
2129,diced pimento
4062,kidney bean
432,beef bouillon cube
3502,ground cumin
756,broccoli
6819,stewed tomato
673,boiling water
6738,spice
4436,liquid smoke
4987,oil
3723,honey
2499,egg
7213,tomato
569,black cumin
7977,yellow mustard
6273,salt & pepper
4821,montrealsteak seasoning
2757,fresh basil
590,black pepper
2393,dried wood ear mushroom
7474,vanilla ice cream
7702,whipped cream
4155,lasagna noodle
2984,frozen chopped spinach
1257,chicken broth
1043,canola oil
7196,toasted wheat germ
6858,strawberry ice cream
7799,white vinegar
4308,lettuce
3490,ground cayenne pepper
332,baking powder
5058,orange juice
3668,heavy cream
1584,cocoa
5695,powdered sugar
1397,chocolate cookies
393,bay leaf
331,baking potato
7233,tomato sauce
2001,cucumber
5168,paprika
4384,lime juice
6416,sesame seed
7582,vegetarian ground beef
328,baking cocoa
5930,red chili pepper
6156,rolled oat
892,button mushroom
3217,garlic powder
4189,lean ground beef
63,all-purpose flmy
7714,white bread
1124,celery
6426,shallot
2509,egg white
1833,cornstarch
7367,unsalted butter
1316,chile
49,albacore tuna in water
1674,condensed cream of mushroom soup
7998,yogurt
6641,sorghum
7193,toasted sesame oil
773,broth
3637,hass avocado
7955,yam
4053,ketchup
6413,sesame oil
3236,genoa salami
2117,desiccated coconut
2200,dressing
954,candy bar
1521,cinnamon oil
2131,diced tomato
3500,ground coriander
7612,vermicelli
2816,fresh ground black pepper
5365,pickle
7559,vegetable shortening
3610,hamburger bun
3013,frozen french fry
1447,chocolate syrup
4918,new potato
2551,escarole
2777,fresh cilantro
6962,sweet butter
3484,ground beef
399,bean dip
815,buckwheat flmy
6626,soft silken tofu
1329,chili powder
1987,crushed tomato
150,apple
5731,provolone cheese
2841,fresh lotus root
728,breadcrumb
5185,parsley
1573,coarse salt
342,banana
2324,dried parsley
7229,tomato paste
1254,chicken breast half
405,bean sprout
6189,rotel tomato
482,beef steak
7962,yellow bell pepper
3486,ground black pepper
2258,dried dill weed
1803,corn
7801,white wine
7406,unsweetened cocoa
5093,"orange, juice of"
840,butter
1351,chinese noodle
510,beer
5667,poultry seasoning
1838,cottage cheese
422,beef
1501,ciabattum
4288,"lemon, rind of"
911,cake flmy
2856,fresh parsley
1672,condensed cream of chicken soup
6265,salsa
2785,fresh corn
3384,great northern bean
6966,sweet corn
1783,cooking oil
1297,chicken stock
1974,crouton
3326,graham cracker crust
6846,strawberry
2764,fresh breadcrumb
3046,frozen pea
1920,cream of mushroom soup
6654,sour cream
132,angel hair pastum
1093,carrot
553,black bean
7655,water
2778,fresh cilantro leaf
5259,peanut
6183,rosemary
162,apple pie filling
5219,pastum
5687,powdered milk
7956,yeast
6082,rice vinegar
483,beef stew meat
7706,whiskey
6733,spearmint
6906,sugar
2946,frozen apple juice concentrate
4836,mozzarella
3675,herb
2159,dill weed
1591,coconut
7517,veal roast
7501,vanilla yogurt
5010,onion
4766,mirin
1049,caper
5622,pork sparerib
3106,frozen vegetable
5186,parsley flake
1909,cream
2587,fennel seed
1170,cheese
5002,olife
6306,sandwich bun
255,avocado
7265,tri-color spiral pastum
1564,clove oil
6829,stir fry vegetable
3437,green olife
3547,ground thyme
2683,flmy
2809,fresh ginger
2505,egg roll wrap
2718,french bread
5481,pizza crust
335,baking soda
7060,taco seasoning
7863,whole tomato
6009,red wine vinegar
2461,dry white wine
5024,onion powder
4883,mustard powder
3589,half-and-half
2807,fresh garlic
1388,chocolate chip
7548,vegetable bouillon cube
3951,jalapeno
1982,crushed pineapple
5106,oregano
3179,garbanzo bean
6206,rubbed sage
4964,nutmeg
2045,dark brown sugar
3834,icing sugar
7404,unsweetened chocolate square
6270,salt
800,brown sugar
1867,cracked black pepper
16,a.1. sauce
6324,sausage
1563,clove
1133,celery seed
2899,fresh spinach leaf
1825,cornbread
1773,cookie
