id,name,minutes,n_steps,vegan_vegetarian
137739,arriba   baked winter squash mexican style,55,11,Vegetarian
31490,a bit different  breakfast pizza,30,9,NonVegetarian
112140,all in the kitchen  chili,130,6,NonVegetarian
59389,alouette  potatoes,45,11,NonVegetarian
44061,amish  tomato ketchup  for canning,190,5,Vegetarian
5289,apple a day  milk shake,0,4,NonVegetarian
25274,aww  marinated olives,15,4,Vegan
67888,backyard style  barbecued ribs,120,10,NonVegetarian
70971,bananas 4 ice cream  pie,180,8,NonVegetarian
75452,beat this  banana bread,70,12,NonVegetarian
109439,berry  good sandwich spread,5,2,NonVegetarian
42198,better than sex  strawberries,1460,8,NonVegetarian
67547,better then bush s  baked beans,2970,9,NonVegetarian
107517,boat house  collard greens,525,7,NonVegetarian
39959,calm your nerves  tonic,5,6,NonVegetarian
63986,chicken lickin  good  pork chops,500,5,NonVegetarian
43026,chile rellenos,45,9,Vegetarian
23933,chinese  candy,15,4,NonVegetarian
8559,chinese  chop suey,70,8,NonVegetarian
23850,cream  of cauliflower soup  vegan,110,10,Vegan
76808,cream  of spinach soup,45,9,NonVegetarian
24701,cream  of spinach soup  vegan,55,10,Vegan
83873,crispy crunchy  chicken,35,8,NonVegetarian
107699,deep fried dessert thingys,20,20,NonVegetarian
49262,easiest ever  hollandaise sauce,25,7,NonVegetarian
48156,emotional balance  spice mixture,10,2,Vegetarian
54272,fool the meat eaters  chili,40,9,Vegan
47366,forgotten  minestrone,495,5,NonVegetarian
37073,fried  potatoes,40,14,NonVegetarian
44123,george s at the cove  black bean soup,90,11,NonVegetarian
27087,get the sensation  brownies,70,11,Vegetarian
59952,global gourmet  taco casserole,55,11,NonVegetarian
93249,grilled  ranch bread,13,4,NonVegetarian
54100,grilled  venison burgers,26,13,NonVegetarian
67664,healthy for them  yogurt popsicles,10,3,NonVegetarian
87098,homemade  vegetable soup from a can,12,6,NonVegetarian
25775,how i got my family to eat spinach  spinach casserole,50,5,Vegetarian
33165,i can t believe it s low fat  creamy potato salad,30,12,NonVegetarian
38798,i can t believe it s spinach,30,5,NonVegetarian
22123,i don t feel like cooking tonight  casserole,45,6,NonVegetarian
90921,i stole the idea from mirj  sesame noodles,18,8,Vegetarian
93959,i yam what i yam two  muffins,35,10,NonVegetarian
93958,i yam what i yam  muffins,45,10,NonVegetarian
58224,immoral  sandwich filling  loose meat,35,6,NonVegetarian
33606,italian sandwich  pasta salad,25,6,NonVegetarian
94710,italian  fries,15,4,NonVegetarian
35173,italian  gut busters,45,7,NonVegetarian
83025,jeanne s style  birthday cake,230,25,NonVegetarian
52804,jiffy  extra moist carrot cake,50,8,NonVegetarian
108414,jiffy  roasted corn and jalapeno cornbread,35,10,NonVegetarian
26995,keep it going  german friendship cake,14450,13,Vegetarian
53402,killer  lasagna,90,13,NonVegetarian
59632,kitchen sink  egg bake,70,14,NonVegetarian
22526,land of nod  cinnamon buns,35,7,NonVegetarian
100870,leftovers  spaghetti sauce,40,13,NonVegetarian
84797,love is in the air  beef fondue   sauces,25,4,NonVegetarian
35653,make it your way  shortcakes,25,11,NonVegetarian
32169,make that chicken dance  salsa pasta,30,7,NonVegetarian
24478,marijuana  vinegar,20160,5,Vegetarian
44045,mennonite  corn fritters,15,6,Vegetarian
60219,mexican pasta,25,5,NonVegetarian
81185,mock a mole   low fat guacamole,15,7,Vegan
30131,momma s special  marinade,10,4,NonVegetarian
63593,more  more    apple pear jigglers,125,6,NonVegetarian
43164,mr  grant you took half veal prince orloff,120,26,NonVegetarian
30300,munch without guilt  tomatoes,10,3,Vegetarian
78655,my muffuletta sandwich,20,3,NonVegetarian
