id,ingredient
1673,condensed cream of mushroom & garlic soup
4574,margarine
821,budweiser beer
2847,fresh mushroom
2807,fresh garlic
3439,green pea
7337,turmeric
4287,"lemon, juice of"
6443,sherry wine
7099,tarragon
1607,coconut milk
7390,unsmoked bacon
2506,egg substitute
7853,whole milk
3710,hoisin sauce
6733,spearmint
437,beef broth
7168,thyme
6715,spaghettus
5314,penne pastum
6754,spinach
3022,frozen hash brown potato
4970,oat bran
1110,catfish nugget
4918,new potato
3815,hot water
5261,peanut butter
5018,onion flake
510,beer
2757,fresh basil
4207,lean pork chop
444,beef consomme
4384,lime juice
7040,syrup
3355,granulated sugar
5476,pitted date
7656,water chestnut
4958,nut
1674,condensed cream of mushroom soup
5791,quick oat
3957,jalapeno pepper
7449,vanilla
4998,old fashioned oat
7485,vanilla pudding mix
4308,lettuce
4298,lemongras
7469,vanilla essence
512,beet
4741,minced ginger
6757,spinach dip
4699,mexicorn whole kernel corn
4544,mango
1043,canola oil
1447,chocolate syrup
6272,salt & ground black pepper
6002,red sweet bell pepper
2969,frozen broccoli cut
4763,miracle whip
4231,lemon
7196,toasted wheat germ
4187,lean chuck
7194,toasted sesame seed
1306,chicken thigh
6160,roma tomato
4299,lemoning
3551,ground veal
6254,salad oil
3148,fruit vinegar
3640,hawaiian bread
7703,whipped dessert topping mix
5419,pineapple in syrup
1178,cheese ravioli
5058,orange juice
5112,oreo cookies
7063,tahini
4053,ketchup
7233,tomato sauce
5093,"orange, juice of"
6378,seedless cucumber
1133,celery seed
7548,vegetable bouillon cube
1505,cilantro
3269,gingerroot
2404,dry breadcrumb
7714,white bread
2819,fresh herb
1831,cornmeal
7620,vinegar
7117,tea bag
996,canned jalapeno slice
524,berry
7863,whole tomato
7955,yam
1786,cooking spray
3399,green bell pepper
245,ature peppermint patty
2817,fresh ground pepper
2959,frozen black-eyed pea
685,bottled garlic
6363,seasoned bread crumb
1093,carrot
3498,ground clove
6790,squid
7801,white wine
5648,potato
3736,honey roasted peanut
892,button mushroom
3108,frozen whipped topping
5370,pickling spice
162,apple pie filling
3723,honey
6937,sunflower seed
6846,strawberry
2212,dried basil
5974,red pepper
255,avocado
5477,pitted olife
4610,mashed potato
1746,cooked rice
1873,cracker
3525,ground mustard
2587,fennel seed
7404,unsweetened chocolate square
5890,raw shrimp
7213,tomato
3800,hot pepper sauce
6805,steak seasoning
1317,chili
761,broccoli floret
2534,english cucumber
911,cake flmy
2159,dill weed
3824,ice
6962,sweet butter
2946,frozen apple juice concentrate
3578,habanero pepper
8021,zucchini
6098,ritz cracker crumb
7059,taco sauce
7495,vanilla wafer
3430,green grape
7799,white vinegar
3598,ham bone
1833,cornstarch
3771,hot chili pepper
6220,russet potato
4717,milk
5340,pepperoni
6024,refrigerated buttermilk biscuit
2764,fresh breadcrumb
7562,vegetable stock
5106,oregano
4863,mushroom
5760,pumpkin puree
590,black pepper
3294,goat cheese
909,cake crumb
3597,ham
3940,italian seasoning
5825,raisin
5564,pork and beans in tomato sauce
1807,corn chip
2832,fresh lemon juice
5362,picante sauce
6153,roll
7227,tomato juice
6298,sambal oelek
7650,warm water
2465,dry-roasted cashew
2780,fresh coarse ground black pepper
5010,onion
3625,hard-boiled egg
6626,soft silken tofu
1910,cream cheese
1825,cornbread
132,angel hair pastum
77,almond extract
7946,worcestershire sauce
1789,cool whip
3106,frozen vegetable
422,beef
7768,white mushroom
2718,french bread
5338,pepperoncini pepper
1620,coconuting
6270,salt
2051,dark chocolate chip
204,artichoke heart
3840,imitation crabmeat
2430,dry mustard
648,blueberry
6225,rye cocktail bread
3967,jamaican jerk spice
5556,poppy seed
4449,liver
5068,orange rind
3495,ground chuck
6129,roasted red pepper
5731,provolone cheese
2045,dark brown sugar
3157,fudge brownie mix
856,butter spread
6906,sugar
3610,hamburger bun
6368,seasoned rice vinegar
5324,peppercorn
2783,fresh coriander
7229,tomato paste
4987,oil
5656,potato flake
3512,ground ginger
2899,fresh spinach leaf
4743,mincemeat
3490,ground cayenne pepper
5759,pumpkin pie spice
3440,green pepper
2226,dried breadcrumb
4302,"lemons, juice of"
6256,salad seasoning
1810,corn flake
5070,orange roughy
3941,italian spice
1504,cider vinegar
6985,sweet pepper
4189,lean ground beef
6477,shredded coconut
6265,salsa
4062,kidney bean
6250,salad green
7706,whiskey
485,beef stock
672,boiling potato
6966,sweet corn
6072,rice krispy
5002,olife
3013,frozen french fry
6697,soy yogurt
1527,cinnamon stick
6641,sorghum
382,basil
3393,green
591,black peppercorn
7933,winter squash
2499,egg
6738,spice
3484,ground beef
673,boiling water
6206,rubbed sage
7705,whipping cream
3324,graham cracker crumb
6243,sage
2117,desiccated coconut
741,brewed espresso
7124,tempeh
7472,vanilla frozen yogurt
602,black tea leaf
1521,cinnamon oil
4766,mirin
6306,sandwich bun
547,bittersweet chocolate
2837,fresh lime juice
4288,"lemon, rind of"
5205,pasta sauce
6820,stewing beef
2627,fine semolina
3668,heavy cream
4619,matzo meal
159,apple juice
1330,chili sauce
2148,dijon mustard
1987,crushed tomato
